refyear,flowcode,partnerdesc,cmdcode,cmddesc,primaryvalue,continent,partner_lat,partner_lon
2010,X,Slovakia,2,Meat & offal,988387.0551856001,Europe,48.7,19.7
2010,X,Vietnam,2,Meat & offal,2908278.6171472,Asia,0.0,0.0
2010,X,Vietnam,5,Other animal products,41182.2521995,Asia,0.0,0.0
2010,X,Slovenia,2,Meat & offal,366520.03993860004,Europe,46.2,14.8
2010,X,Serbia,5,Other animal products,67162.5984532,Europe,0.0,0.0
2010,X,India,2,Meat & offal,226899.696629,Asia,20.6,78.9
2010,X,Singapore,2,Meat & offal,2948090.7960524,Asia,1.3,103.8
2010,X,Romania,2,Meat & offal,57799.26575400001,Europe,45.9,24.9
2010,X,Romania,5,Other animal products,368911.9134122,Europe,45.9,24.9
2010,X,Russia,2,Meat & offal,30435617.6388502,Europe/Asia,61.5,105.0
2010,X,Saudi Arabia,2,Meat & offal,12085.464354200001,Middle East,23.9,45.1
2010,X,Portugal,2,Meat & offal,35273733.6065865,Europe,39.4,-8.2
2010,X,Portugal,5,Other animal products,26848.026049000004,Europe,39.4,-8.2
2010,X,Philippines,2,Meat & offal,2043322.2270185,Asia,0.0,0.0
2010,X,Poland,2,Meat & offal,15854463.4152627,Europe,52.0,20.0
2010,X,Poland,5,Other animal products,1765514.6621867,Europe,52.0,20.0
2010,X,Norway,2,Meat & offal,169660.8701448,Europe,60.5,8.5
2010,X,Norway,5,Other animal products,315741.2724691,Europe,60.5,8.5
2010,X,Namibia,2,Meat & offal,243824.9517064,Other,0.0,0.0
2010,X,Netherlands,2,Meat & offal,146345094.0866793,Europe,52.1,5.3
2010,X,Netherlands,5,Other animal products,2838429.9146415,Europe,52.1,5.3
2010,X,Mozambique,2,Meat & offal,175214.2187695,Africa,0.0,0.0
2010,X,Latvia,2,Meat & offal,30430.8320273,Europe,0.0,0.0
2010,X,Liberia,2,Meat & offal,149768.2911375,Other,0.0,0.0
2010,X,Lithuania,2,Meat & offal,60278.2071289,Europe,0.0,0.0
2010,X,Luxembourg,2,Meat & offal,1029153.9817874,Europe,49.6,6.1
2010,X,Malawi,5,Other animal products,61166.902585300006,Other,0.0,0.0
2010,X,Malaysia,2,Meat & offal,68729.82596090001,Asia,4.2,108.0
2010,X,Malta,2,Meat & offal,450468.78427169996,Europe,0.0,0.0
2010,X,Rep. of Korea,2,Meat & offal,478078.4070386,Asia,35.9,127.8
2010,X,Italy,2,Meat & offal,231350758.2297514,Europe,41.9,12.5
2010,X,Italy,5,Other animal products,1964217.2758884002,Europe,41.9,12.5
2010,X,Cote d'Ivoire,2,Meat & offal,234522.6662604,Africa,0.0,0.0
2010,X,Jamaica,2,Meat & offal,260812.2550344,Americas,0.0,0.0
2010,X,Guinea,2,Meat & offal,89189.84895510001,Other,0.0,0.0
2010,X,Spain,9,"Coffee, tea & spices",19026.9012068,Europe,40.0,-4.0
2010,X,Singapore,9,"Coffee, tea & spices",1587.2429263000001,Asia,1.3,103.8
2010,X,Saudi Arabia,9,"Coffee, tea & spices",2603.038631,Middle East,23.9,45.1
2010,X,San Marino,9,"Coffee, tea & spices",11412.938287300001,Other,0.0,0.0
2010,X,New Zealand,9,"Coffee, tea & spices",374.2930082,Oceania,-40.9,174.9
2010,X,Kenya,9,"Coffee, tea & spices",13.009946600000001,Africa,0.0,0.0
2010,X,Rep. of Korea,9,"Coffee, tea & spices",4644.6377497,Asia,35.9,127.8
2010,X,Italy,9,"Coffee, tea & spices",52098.801462400006,Europe,41.9,12.5
2010,X,Japan,9,"Coffee, tea & spices",84220.95749860001,Asia,36.2,138.3
2010,X,Hong Kong,9,"Coffee, tea & spices",4320.383288,Asia,22.3,114.2
2010,X,Germany,9,"Coffee, tea & spices",55739.65245660001,Europe,51.2,10.5
2010,X,France,9,"Coffee, tea & spices",137115.3820415,Europe,46.2,2.2
2010,X,Sri Lanka,9,"Coffee, tea & spices",190.1487414,Asia,0.0,0.0
2010,X,Senegal,4,"Dairy, eggs & honey",917094.2221858001,Africa,0.0,0.0
2010,X,Seychelles,4,"Dairy, eggs & honey",479642.6315541,Other,0.0,0.0
2010,X,India,4,"Dairy, eggs & honey",22918.9489505,Asia,20.6,78.9
2010,X,India,10,Cereals,8558.7029068,Asia,20.6,78.9
2010,X,Singapore,4,"Dairy, eggs & honey",1768761.2047541,Asia,1.3,103.8
2010,X,Slovakia,4,"Dairy, eggs & honey",2833692.2045159,Europe,48.7,19.7
2010,X,Vietnam,4,"Dairy, eggs & honey",1474109.4482716,Asia,0.0,0.0
2010,X,South Africa,4,"Dairy, eggs & honey",5704433.4244474005,Africa,-30.6,22.9
2010,X,Spain,4,"Dairy, eggs & honey",18909700.1222388,Europe,40.0,-4.0
2010,X,Spain,7,Vegetables,72097.4627922,Europe,40.0,-4.0
2010,X,Sweden,4,"Dairy, eggs & honey",1052064.9242685,Europe,63.0,16.0
2010,X,Sweden,7,Vegetables,1092.8558967000001,Europe,63.0,16.0
2010,X,Switzerland,4,"Dairy, eggs & honey",119444.543185,Europe,46.8,8.2
2010,X,Syria,4,"Dairy, eggs & honey",2146424.9712969,Other,0.0,0.0
2010,X,Thailand,4,"Dairy, eggs & honey",5607349.3929379005,Asia,0.0,0.0
2010,X,United States,9,"Coffee, tea & spices",346930.698977,Americas,39.5,-98.4
2010,X,Switzerland,9,"Coffee, tea & spices",204881.452839,Europe,46.8,8.2
2010,X,United Kingdom,9,"Coffee, tea & spices",10114344.043221999,Europe,55.4,-3.4
2010,X,Uruguay,1,Live animals,50.0393014,Americas,0.0,0.0
2010,X,Tanzania,1,Live animals,200.1564507,Africa,0.0,0.0
2010,X,United States,1,Live animals,3460877.3845769004,Americas,39.5,-98.4
2010,X,Türkiye,1,Live animals,661830.3122989,Middle East,39.0,35.0
2010,X,Ukraine,1,Live animals,100.0786028,Europe/Asia,48.4,31.2
2010,X,Egypt,1,Live animals,1050.8230647,Africa,26.8,30.8
2010,X,Thailand,1,Live animals,300.2350535,Asia,0.0,0.0
2010,X,United Arab Emirates,1,Live animals,117949.37163719999,Middle East,23.4,53.8
2010,X,Switzerland,1,Live animals,344311.6474072,Europe,46.8,8.2
2010,X,Sweden,1,Live animals,175445.4001004,Europe,63.0,16.0
2010,X,Slovenia,1,Live animals,54507.68736240001,Europe,46.2,14.8
2010,X,South Africa,1,Live animals,3502.7435490000003,Africa,-30.6,22.9
2010,X,Spain,1,Live animals,21457418.366203,Europe,40.0,-4.0
2010,X,Singapore,1,Live animals,250.1957521,Asia,1.3,103.8
2010,X,Slovakia,1,Live animals,19078.941748100002,Europe,48.7,19.7
2010,X,Rwanda,1,Live animals,139108.9430987,Africa,0.0,0.0
2010,X,India,1,Live animals,2528934.5337924003,Asia,20.6,78.9
2010,X,Russia,1,Live animals,3647683.6816684003,Europe/Asia,61.5,105.0
2010,X,Poland,1,Live animals,92822.6942348,Europe,52.0,20.0
2010,X,Norway,1,Live animals,3502.7435490000003,Europe,60.5,8.5
2010,X,Canada,9,"Coffee, tea & spices",55855.7432433,Americas,56.1,-106.3
2010,X,Bahrain,9,"Coffee, tea & spices",50.0393014,Middle East,0.0,0.0
2010,X,Venezuela,4,"Dairy, eggs & honey",277251.12879670004,Americas,0.0,0.0
2010,X,Yemen,4,"Dairy, eggs & honey",3026820.4531769,Other,0.0,0.0
2010,X,Zambia,4,"Dairy, eggs & honey",1151911.1182702,Africa,0.0,0.0
2010,X,United States,6,Live plants,231435.2483091,Americas,39.5,-98.4
2010,X,Finland,4,"Dairy, eggs & honey",458118.7755486,Europe,64.0,26.0
2010,X,France,4,"Dairy, eggs & honey",95744756.4578122,Europe,46.2,2.2
2010,X,France,7,Vegetables,27883.837172300002,Europe,46.2,2.2
2010,X,France,8,Fruit & nuts,71867.28245869999,Europe,46.2,2.2
2010,X,France,10,Cereals,460360.531118,Europe,46.2,2.2
2010,X,Gabon,4,"Dairy, eggs & honey",5404.2324728,Other,0.0,0.0
2010,X,Georgia,4,"Dairy, eggs & honey",117019.6435913,Other,0.0,0.0
2010,X,Germany,4,"Dairy, eggs & honey",166223623.9475099,Europe,51.2,10.5
2010,X,Germany,7,Vegetables,138952.8207199,Europe,51.2,10.5
2010,X,Germany,8,Fruit & nuts,1123328.7343829,Europe,51.2,10.5
2010,X,Germany,10,Cereals,6732631.6567859,Europe,51.2,10.5
2010,X,Ghana,4,"Dairy, eggs & honey",107577.2487053,Africa,0.0,0.0
2010,X,Gibraltar,4,"Dairy, eggs & honey",107118.8900331,Europe,0.0,0.0
2010,X,Greece,4,"Dairy, eggs & honey",18537576.6936192,Europe,39.1,21.8
2010,X,Greece,7,Vegetables,7728.0524663,Europe,39.1,21.8
2010,X,Hong Kong,4,"Dairy, eggs & honey",464395.6912939,Asia,22.3,114.2
2010,X,Hungary,4,"Dairy, eggs & honey",1327093.3126719,Europe,47.2,19.5
2010,X,Hungary,7,Vegetables,15295.979319099999,Europe,47.2,19.5
2010,X,Indonesia,4,"Dairy, eggs & honey",9064476.840451,Asia,0.0,0.0
2010,X,Iran,4,"Dairy, eggs & honey",5714860.5901579,Middle East,0.0,0.0
2010,X,Iraq,4,"Dairy, eggs & honey",306414.9683698,Middle East,0.0,0.0
2010,X,Israel,4,"Dairy, eggs & honey",1158279.1059064001,Middle East,31.0,34.9
2010,X,Israel,10,Cereals,1065.8350060999999,Middle East,31.0,34.9
2010,X,Ukraine,3,Fish & seafood,1493982.0111054,Europe/Asia,48.4,31.2
2010,X,Egypt,3,Fish & seafood,14342099.0078843,Africa,26.8,30.8
2010,X,United Kingdom,3,Fish & seafood,24484679.1638734,Europe,55.4,-3.4
2010,X,United Kingdom,6,Live plants,8004382.628420201,Europe,55.4,-3.4
2010,X,United Arab Emirates,3,Fish & seafood,8571.7128534,Middle East,23.4,53.8
2010,X,United Arab Emirates,6,Live plants,175.1368,Middle East,23.4,53.8
2010,X,Türkiye,3,Fish & seafood,66307.9293594,Middle East,39.0,35.0
2010,X,Thailand,3,Fish & seafood,147260.3268772,Asia,0.0,0.0
2010,X,Sweden,3,Fish & seafood,5159331.5281531,Europe,63.0,16.0
2010,X,Sweden,6,Live plants,175345.3214976,Europe,63.0,16.0
2010,X,Switzerland,3,Fish & seafood,1739767.4977489002,Europe,46.8,8.2
2010,X,Slovenia,3,Fish & seafood,70655.33353799999,Europe,46.2,14.8
2010,X,Slovenia,6,Live plants,12766.9986428,Europe,46.2,14.8
2010,X,Spain,3,Fish & seafood,49507914.0981225,Europe,40.0,-4.0
2010,X,Spain,6,Live plants,277.21739759999997,Europe,40.0,-4.0
2010,X,Singapore,3,Fish & seafood,251151.689519,Asia,1.3,103.8
2010,X,Slovakia,3,Fish & seafood,859992.5029043,Europe,48.7,19.7
2010,X,Romania,3,Fish & seafood,2818182.0578021,Europe,45.9,24.9
2010,X,Russia,3,Fish & seafood,17667514.3048313,Europe/Asia,61.5,105.0
2010,X,Russia,6,Live plants,235.1838107,Europe/Asia,61.5,105.0
2010,X,Poland,3,Fish & seafood,9569445.306370601,Europe,52.0,20.0
2010,X,Portugal,3,Fish & seafood,4047972.1673377003,Europe,39.4,-8.2
2010,X,Portugal,6,Live plants,11594.0795619,Europe,39.4,-8.2
2010,X,New Zealand,3,Fish & seafood,105691.7727203,Oceania,-40.9,174.9
2010,X,New Zealand,6,Live plants,8331.5248106,Oceania,-40.9,174.9
2010,X,Nigeria,3,Fish & seafood,18461326.978866998,Africa,9.1,8.7
2010,X,Netherlands,3,Fish & seafood,8854303.2434461,Europe,52.1,5.3
2010,X,Netherlands,6,Live plants,1746217.5490543,Europe,52.1,5.3
2010,X,Lithuania,3,Fish & seafood,69005.0413637,Europe,0.0,0.0
2010,X,Luxembourg,3,Fish & seafood,38149.8770268,Europe,49.6,6.1
2010,X,Malaysia,3,Fish & seafood,24538.2169995,Asia,4.2,108.0
2010,X,Malta,3,Fish & seafood,29346.982842499998,Europe,0.0,0.0
2010,X,Rep. of Korea,3,Fish & seafood,5635298.281353,Asia,35.9,127.8
2010,X,Latvia,3,Fish & seafood,124617.5943269,Europe,0.0,0.0
2010,X,Cote d'Ivoire,3,Fish & seafood,1165106.4524573,Africa,0.0,0.0
2010,X,Jamaica,3,Fish & seafood,101837.753819,Americas,0.0,0.0
2010,X,Japan,3,Fish & seafood,635495.6884556,Asia,36.2,138.3
2010,X,Japan,6,Live plants,200.1564507,Asia,36.2,138.3
2010,X,Kazakhstan,6,Live plants,150.1179042,Other,0.0,0.0
2010,X,Jordan,3,Fish & seafood,247180.5795885,Middle East,0.0,0.0
2010,X,Israel,3,Fish & seafood,118957.1608725,Middle East,31.0,34.9
2010,X,Ghana,3,Fish & seafood,4670535.7280598,Africa,0.0,0.0
2010,X,Greece,3,Fish & seafood,987460.329377,Europe,39.1,21.8
2010,X,Haiti,3,Fish & seafood,119780.8065959,Other,0.0,0.0
2010,X,Gabon,3,Fish & seafood,62598.0238877,Other,0.0,0.0
2010,X,Georgia,3,Fish & seafood,45877.929493100004,Other,0.0,0.0
2010,X,State of Palestine,3,Fish & seafood,199956.59620929998,Other,0.0,0.0
2010,X,Germany,3,Fish & seafood,19909138.8318952,Europe,51.2,10.5
2010,X,Germany,6,Live plants,205491.9306553,Europe,51.2,10.5
2010,X,Estonia,3,Fish & seafood,1945.5237506,Europe,0.0,0.0
2010,X,Finland,3,Fish & seafood,61748.358271100005,Europe,64.0,26.0
2010,X,Finland,6,Live plants,9341.315285800001,Europe,64.0,26.0
2010,X,France,3,Fish & seafood,96980145.9527941,Europe,46.2,2.2
2010,X,France,6,Live plants,875392.563306,Europe,46.2,2.2
2010,X,Czechia,3,Fish & seafood,1881324.3580971998,Europe,49.8,15.5
2010,X,Czechia,6,Live plants,8895.9665602,Europe,49.8,15.5
2010,X,Benin,3,Fish & seafood,437228.41501530004,Other,0.0,0.0
2010,X,Denmark,3,Fish & seafood,7367593.927617201,Europe,56.0,10.0
2010,X,Denmark,6,Live plants,167934.518021,Europe,56.0,10.0
2010,X,Afghanistan,4,"Dairy, eggs & honey",91681.8002766,Other,0.0,0.0
2010,X,Algeria,4,"Dairy, eggs & honey",35726397.1101184,Africa,0.0,0.0
2010,X,Angola,4,"Dairy, eggs & honey",5599070.909666,Africa,0.0,0.0
2010,X,Azerbaijan,4,"Dairy, eggs & honey",1519908.3155779,Other,0.0,0.0
2010,X,Australia,4,"Dairy, eggs & honey",1441330.7775975,Oceania,-25.3,133.8
2010,X,Australia,7,Vegetables,1491.1675582,Oceania,-25.3,133.8
2010,X,Austria,4,"Dairy, eggs & honey",3475447.7955354997,Europe,47.5,14.6
2010,X,Bahamas,4,"Dairy, eggs & honey",1082344.6373942,Other,0.0,0.0
2010,X,Bahrain,4,"Dairy, eggs & honey",4921061.9270662,Middle East,0.0,0.0
2010,X,Bangladesh,4,"Dairy, eggs & honey",322752.7632868,Asia,0.0,0.0
2010,X,Barbados,4,"Dairy, eggs & honey",254233.10224079998,Other,0.0,0.0
2010,X,Belgium,4,"Dairy, eggs & honey",90554016.3322793,Europe,50.5,4.5
2010,X,Belgium,7,Vegetables,48760.1867616,Europe,50.5,4.5
2010,X,Bermuda,4,"Dairy, eggs & honey",202067.24905060002,Americas,0.0,0.0
2010,X,Bulgaria,4,"Dairy, eggs & honey",99738.10968440001,Europe,42.7,25.5
2010,X,Myanmar,4,"Dairy, eggs & honey",79572.3172691,Other,0.0,0.0
2010,X,Cameroon,4,"Dairy, eggs & honey",275966.1229187,Africa,0.0,0.0
2010,X,Canada,4,"Dairy, eggs & honey",3651.8597009,Americas,56.1,-106.3
2010,X,Canada,10,Cereals,27649.6536041,Americas,56.1,-106.3
2010,X,Sri Lanka,4,"Dairy, eggs & honey",691627.6480991,Asia,0.0,0.0
2010,X,Chile,4,"Dairy, eggs & honey",555060.6956233,Americas,-35.7,-71.5
2010,X,China,4,"Dairy, eggs & honey",20776068.7676625,Asia,35.9,104.2
2010,X,Congo,4,"Dairy, eggs & honey",1911904.3070313002,Other,0.0,0.0
2010,X,Dem. Rep. of the Congo,4,"Dairy, eggs & honey",13875881.890095899,Other,0.0,0.0
2010,X,Costa Rica,4,"Dairy, eggs & honey",41027.1300632,Americas,0.0,0.0
2010,X,Croatia,4,"Dairy, eggs & honey",330510.8396359,Europe,45.1,15.2
2010,X,Cuba,4,"Dairy, eggs & honey",1195936.5971434999,Americas,0.0,0.0
2010,X,Cyprus,4,"Dairy, eggs & honey",2192496.0525236,Europe,0.0,0.0
2010,X,Czechia,4,"Dairy, eggs & honey",354726.8041685,Europe,49.8,15.5
2010,X,Benin,4,"Dairy, eggs & honey",145611.0349454,Other,0.0,0.0
2010,X,Denmark,4,"Dairy, eggs & honey",10869849.717609601,Europe,56.0,10.0
2010,X,Dominican Republic,4,"Dairy, eggs & honey",1337173.2062648002,Americas,0.0,0.0
2010,X,Equatorial Guinea,4,"Dairy, eggs & honey",123701.877225,Other,0.0,0.0
2010,X,Estonia,7,Vegetables,1078776.8433573,Europe,0.0,0.0
2010,X,Christmas Isds,3,Fish & seafood,675.5290591,Other,0.0,0.0
