flow,month,commodity,unit,value,year
Value of Imports,2010 January,Total food and live animals (0),Euro Thousand,336700,2010
Value of Imports,2010 January,Beverages and tobacco (1),Euro Thousand,46800,2010
Value of Imports,2010 February,Total food and live animals (0),Euro Thousand,345500,2010
Value of Imports,2010 February,Beverages and tobacco (1),Euro Thousand,50600,2010
Value of Imports,2010 March,Total food and live animals (0),Euro Thousand,383900,2010
Value of Imports,2010 March,Beverages and tobacco (1),Euro Thousand,68900,2010
Value of Imports,2010 April,Total food and live animals (0),Euro Thousand,375600,2010
Value of Imports,2010 April,Beverages and tobacco (1),Euro Thousand,65300,2010
Value of Imports,2010 May,Total food and live animals (0),Euro Thousand,356700,2010
Value of Imports,2010 May,Beverages and tobacco (1),Euro Thousand,67000,2010
Value of Imports,2010 June,Total food and live animals (0),Euro Thousand,375600,2010
Value of Imports,2010 June,Beverages and tobacco (1),Euro Thousand,75800,2010
Value of Imports,2010 July,Total food and live animals (0),Euro Thousand,337200,2010
Value of Imports,2010 July,Beverages and tobacco (1),Euro Thousand,75200,2010
Value of Imports,2010 August,Total food and live animals (0),Euro Thousand,349600,2010
Value of Imports,2010 August,Beverages and tobacco (1),Euro Thousand,72700,2010
Value of Imports,2010 September,Total food and live animals (0),Euro Thousand,380800,2010
Value of Imports,2010 September,Beverages and tobacco (1),Euro Thousand,77700,2010
Value of Imports,2010 October,Total food and live animals (0),Euro Thousand,425800,2010
Value of Imports,2010 October,Beverages and tobacco (1),Euro Thousand,73900,2010
Value of Imports,2010 November,Total food and live animals (0),Euro Thousand,422800,2010
Value of Imports,2010 November,Beverages and tobacco (1),Euro Thousand,80700,2010
Value of Imports,2010 December,Total food and live animals (0),Euro Thousand,488400,2010
Value of Imports,2010 December,Beverages and tobacco (1),Euro Thousand,66900,2010
Value of Imports,2011 January,Total food and live animals (0),Euro Thousand,472900,2011
Value of Imports,2011 January,Beverages and tobacco (1),Euro Thousand,49000,2011
Value of Imports,2011 February,Total food and live animals (0),Euro Thousand,394800,2011
Value of Imports,2011 February,Beverages and tobacco (1),Euro Thousand,52400,2011
Value of Imports,2011 March,Total food and live animals (0),Euro Thousand,440600,2011
