domain,area,element,item,year,unit,value
Food Balances (2010-),Ireland,Production,Wheat and products,2010,1000 t,669.0
Food Balances (2010-),Ireland,Import quantity,Wheat and products,2010,1000 t,1672.0
Food Balances (2010-),Ireland,Export quantity,Wheat and products,2010,1000 t,395.0
Food Balances (2010-),Ireland,Domestic supply quantity,Wheat and products,2010,1000 t,2032.0
Food Balances (2010-),Ireland,Food supply quantity (kg/capita/yr),Wheat and products,2010,kg/cap,119.96
Food Balances (2010-),Ireland,Production,Wheat and products,2011,1000 t,929.0
Food Balances (2010-),Ireland,Import quantity,Wheat and products,2011,1000 t,1258.0
Food Balances (2010-),Ireland,Export quantity,Wheat and products,2011,1000 t,487.0
Food Balances (2010-),Ireland,Domestic supply quantity,Wheat and products,2011,1000 t,1675.0
Food Balances (2010-),Ireland,Food supply quantity (kg/capita/yr),Wheat and products,2011,kg/cap,119.99
Food Balances (2010-),Ireland,Production,Wheat and products,2012,1000 t,708.0
Food Balances (2010-),Ireland,Import quantity,Wheat and products,2012,1000 t,1776.0
Food Balances (2010-),Ireland,Export quantity,Wheat and products,2012,1000 t,524.0
Food Balances (2010-),Ireland,Domestic supply quantity,Wheat and products,2012,1000 t,1859.0
Food Balances (2010-),Ireland,Food supply quantity (kg/capita/yr),Wheat and products,2012,kg/cap,129.48
Food Balances (2010-),Ireland,Production,Wheat and products,2013,1000 t,545.0
Food Balances (2010-),Ireland,Import quantity,Wheat and products,2013,1000 t,1754.0
Food Balances (2010-),Ireland,Export quantity,Wheat and products,2013,1000 t,541.0
Food Balances (2010-),Ireland,Domestic supply quantity,Wheat and products,2013,1000 t,1869.0
Food Balances (2010-),Ireland,Food supply quantity (kg/capita/yr),Wheat and products,2013,kg/cap,125.14
Food Balances (2010-),Ireland,Production,Wheat and products,2014,1000 t,717.0
Food Balances (2010-),Ireland,Import quantity,Wheat and products,2014,1000 t,1446.0
Food Balances (2010-),Ireland,Export quantity,Wheat and products,2014,1000 t,626.0
Food Balances (2010-),Ireland,Domestic supply quantity,Wheat and products,2014,1000 t,1580.0
Food Balances (2010-),Ireland,Food supply quantity (kg/capita/yr),Wheat and products,2014,kg/cap,111.4
Food Balances (2010-),Ireland,Production,Wheat and products,2015,1000 t,697.0
Food Balances (2010-),Ireland,Import quantity,Wheat and products,2015,1000 t,1505.0
Food Balances (2010-),Ireland,Export quantity,Wheat and products,2015,1000 t,831.0
Food Balances (2010-),Ireland,Domestic supply quantity,Wheat and products,2015,1000 t,1378.0
Food Balances (2010-),Ireland,Food supply quantity (kg/capita/yr),Wheat and products,2015,kg/cap,122.5
Food Balances (2010-),Ireland,Production,Wheat and products,2016,1000 t,648.0
Food Balances (2010-),Ireland,Import quantity,Wheat and products,2016,1000 t,1794.0
Food Balances (2010-),Ireland,Export quantity,Wheat and products,2016,1000 t,747.0
Food Balances (2010-),Ireland,Domestic supply quantity,Wheat and products,2016,1000 t,1650.0
Food Balances (2010-),Ireland,Food supply quantity (kg/capita/yr),Wheat and products,2016,kg/cap,116.79
Food Balances (2010-),Ireland,Production,Wheat and products,2017,1000 t,682.0
Food Balances (2010-),Ireland,Import quantity,Wheat and products,2017,1000 t,2016.0
Food Balances (2010-),Ireland,Export quantity,Wheat and products,2017,1000 t,821.0
Food Balances (2010-),Ireland,Domestic supply quantity,Wheat and products,2017,1000 t,1791.0
Food Balances (2010-),Ireland,Food supply quantity (kg/capita/yr),Wheat and products,2017,kg/cap,114.76
Food Balances (2010-),Ireland,Production,Wheat and products,2018,1000 t,507.0
Food Balances (2010-),Ireland,Import quantity,Wheat and products,2018,1000 t,2727.0
Food Balances (2010-),Ireland,Export quantity,Wheat and products,2018,1000 t,668.0
Food Balances (2010-),Ireland,Domestic supply quantity,Wheat and products,2018,1000 t,2555.0
Food Balances (2010-),Ireland,Food supply quantity (kg/capita/yr),Wheat and products,2018,kg/cap,115.68
Food Balances (2010-),Ireland,Production,Wheat and products,2019,1000 t,595.0
Food Balances (2010-),Ireland,Import quantity,Wheat and products,2019,1000 t,2096.0
Food Balances (2010-),Ireland,Export quantity,Wheat and products,2019,1000 t,728.0
Food Balances (2010-),Ireland,Domestic supply quantity,Wheat and products,2019,1000 t,1958.0
Food Balances (2010-),Ireland,Food supply quantity (kg/capita/yr),Wheat and products,2019,kg/cap,103.67
Food Balances (2010-),Ireland,Production,Wheat and products,2020,1000 t,365.0
Food Balances (2010-),Ireland,Import quantity,Wheat and products,2020,1000 t,2190.0
Food Balances (2010-),Ireland,Export quantity,Wheat and products,2020,1000 t,733.0
Food Balances (2010-),Ireland,Domestic supply quantity,Wheat and products,2020,1000 t,1917.0
Food Balances (2010-),Ireland,Food supply quantity (kg/capita/yr),Wheat and products,2020,kg/cap,91.69
Food Balances (2010-),Ireland,Production,Wheat and products,2021,1000 t,628.0
Food Balances (2010-),Ireland,Import quantity,Wheat and products,2021,1000 t,2303.0
Food Balances (2010-),Ireland,Export quantity,Wheat and products,2021,1000 t,658.0
Food Balances (2010-),Ireland,Domestic supply quantity,Wheat and products,2021,1000 t,2222.0
Food Balances (2010-),Ireland,Food supply quantity (kg/capita/yr),Wheat and products,2021,kg/cap,87.36
Food Balances (2010-),Ireland,Production,Wheat and products,2022,1000 t,701.0
Food Balances (2010-),Ireland,Import quantity,Wheat and products,2022,1000 t,2995.0
Food Balances (2010-),Ireland,Export quantity,Wheat and products,2022,1000 t,652.0
Food Balances (2010-),Ireland,Domestic supply quantity,Wheat and products,2022,1000 t,3016.0
Food Balances (2010-),Ireland,Food supply quantity (kg/capita/yr),Wheat and products,2022,kg/cap,87.47
Food Balances (2010-),Ireland,Production,Wheat and products,2023,1000 t,484.0
Food Balances (2010-),Ireland,Import quantity,Wheat and products,2023,1000 t,3127.0
Food Balances (2010-),Ireland,Export quantity,Wheat and products,2023,1000 t,645.0
Food Balances (2010-),Ireland,Domestic supply quantity,Wheat and products,2023,1000 t,3039.0
Food Balances (2010-),Ireland,Food supply quantity (kg/capita/yr),Wheat and products,2023,kg/cap,95.29
Food Balances (2010-),Ireland,Import quantity,Rice and products,2010,1000 t,33.0
Food Balances (2010-),Ireland,Export quantity,Rice and products,2010,1000 t,1.0
Food Balances (2010-),Ireland,Domestic supply quantity,Rice and products,2010,1000 t,33.0
Food Balances (2010-),Ireland,Food supply quantity (kg/capita/yr),Rice and products,2010,kg/cap,5.58
Food Balances (2010-),Ireland,Import quantity,Rice and products,2011,1000 t,30.0
Food Balances (2010-),Ireland,Export quantity,Rice and products,2011,1000 t,1.0
Food Balances (2010-),Ireland,Domestic supply quantity,Rice and products,2011,1000 t,29.0
Food Balances (2010-),Ireland,Food supply quantity (kg/capita/yr),Rice and products,2011,kg/cap,4.78
Food Balances (2010-),Ireland,Import quantity,Rice and products,2012,1000 t,32.0
Food Balances (2010-),Ireland,Export quantity,Rice and products,2012,1000 t,1.0
Food Balances (2010-),Ireland,Domestic supply quantity,Rice and products,2012,1000 t,31.0
Food Balances (2010-),Ireland,Food supply quantity (kg/capita/yr),Rice and products,2012,kg/cap,5.19
Food Balances (2010-),Ireland,Import quantity,Rice and products,2013,1000 t,30.0
Food Balances (2010-),Ireland,Export quantity,Rice and products,2013,1000 t,1.0
Food Balances (2010-),Ireland,Domestic supply quantity,Rice and products,2013,1000 t,29.0
Food Balances (2010-),Ireland,Food supply quantity (kg/capita/yr),Rice and products,2013,kg/cap,4.68
Food Balances (2010-),Ireland,Import quantity,Rice and products,2014,1000 t,39.0
Food Balances (2010-),Ireland,Export quantity,Rice and products,2014,1000 t,1.0
Food Balances (2010-),Ireland,Domestic supply quantity,Rice and products,2014,1000 t,32.0
Food Balances (2010-),Ireland,Food supply quantity (kg/capita/yr),Rice and products,2014,kg/cap,5.02
Food Balances (2010-),Ireland,Import quantity,Rice and products,2015,1000 t,44.0
Food Balances (2010-),Ireland,Export quantity,Rice and products,2015,1000 t,1.0
Food Balances (2010-),Ireland,Domestic supply quantity,Rice and products,2015,1000 t,35.0
Food Balances (2010-),Ireland,Food supply quantity (kg/capita/yr),Rice and products,2015,kg/cap,5.52
Food Balances (2010-),Ireland,Import quantity,Rice and products,2016,1000 t,45.0
Food Balances (2010-),Ireland,Export quantity,Rice and products,2016,1000 t,0.0
Food Balances (2010-),Ireland,Domestic supply quantity,Rice and products,2016,1000 t,38.0
Food Balances (2010-),Ireland,Food supply quantity (kg/capita/yr),Rice and products,2016,kg/cap,5.83
Food Balances (2010-),Ireland,Import quantity,Rice and products,2017,1000 t,47.0
Food Balances (2010-),Ireland,Export quantity,Rice and products,2017,1000 t,1.0
Food Balances (2010-),Ireland,Domestic supply quantity,Rice and products,2017,1000 t,40.0
Food Balances (2010-),Ireland,Food supply quantity (kg/capita/yr),Rice and products,2017,kg/cap,6.8
Food Balances (2010-),Ireland,Import quantity,Rice and products,2018,1000 t,48.0
Food Balances (2010-),Ireland,Export quantity,Rice and products,2018,1000 t,1.0
Food Balances (2010-),Ireland,Domestic supply quantity,Rice and products,2018,1000 t,41.0
