refyear,flowcode,partnerdesc,cmdcode,cmddesc,primaryvalue,continent,partner_lat,partner_lon,_source
2010,M,Denmark,0,Crude petroleum oils,190004840.19468212,Europe,56.0,10.0,imports_2010_2021
2010,M,France,0,Crude petroleum oils,10510.231132,Europe,46.2,2.2,imports_2010_2021
2010,M,Germany,0,Crude petroleum oils,42574151.9258039,Europe,51.2,10.5,imports_2010_2021
2010,M,Libya,0,Crude petroleum oils,338489157.6130992,Africa,26.3,17.2,imports_2010_2021
2010,M,E19,0,Crude petroleum oils,633.4962270999999,Other,0.0,0.0,imports_2010_2021
2010,M,Norway,0,Crude petroleum oils,598428405.9048786,Europe,60.5,8.5,imports_2010_2021
2010,M,Russian Federation,0,Crude petroleum oils,4956397.6003046,Other,0.0,0.0,imports_2010_2021
2010,M,United Kingdom,0,Crude petroleum oils,194589365.5638715,Europe,55.4,-3.4,imports_2010_2021
2010,M,_X,0,Crude petroleum oils,567912.7609275,Other,0.0,0.0,imports_2010_2021
2010,M,Australia,0,Crude petroleum oils,17653.8256752,Oceania,-25.3,133.8,imports_2010_2021
2010,M,Austria,0,Crude petroleum oils,3791.9698958,Europe,0.0,0.0,imports_2010_2021
2010,M,Belgium,0,Crude petroleum oils,43859396.4639291,Europe,50.5,4.5,imports_2010_2021
2010,M,Bulgaria,0,Crude petroleum oils,797.6243204,Europe,0.0,0.0,imports_2010_2021
2010,M,Canada,0,Crude petroleum oils,638.4997043000001,Americas,56.1,-106.3,imports_2010_2021
2010,M,China,0,Crude petroleum oils,13991.9575101,Asia,35.9,104.2,imports_2010_2021
2010,M,Czechia,0,Crude petroleum oils,34595.092936500005,Europe,0.0,0.0,imports_2010_2021
2010,M,Denmark,0,Crude petroleum oils,17283183.316596203,Europe,56.0,10.0,imports_2010_2021
2010,M,Finland,0,Crude petroleum oils,4295723.1931504,Europe,0.0,0.0,imports_2010_2021
2010,M,France,0,Crude petroleum oils,74528011.574364,Europe,46.2,2.2,imports_2010_2021
2010,M,Palestine,0,Crude petroleum oils,2431274.0508292,Middle East,0.0,0.0,imports_2010_2021
2010,M,Germany,0,Crude petroleum oils,54178924.1970384,Europe,51.2,10.5,imports_2010_2021
2010,M,Hungary,0,Crude petroleum oils,786.6163686,Europe,0.0,0.0,imports_2010_2021
2010,M,Ireland,0,Crude petroleum oils,2305638.6595577,Europe,0.0,0.0,imports_2010_2021
2010,M,Italy,0,Crude petroleum oils,439148.9191152,Europe,41.9,12.5,imports_2010_2021
2010,M,Japan,0,Crude petroleum oils,9932.7786809,Asia,36.2,138.3,imports_2010_2021
2010,M,Lithuania,0,Crude petroleum oils,1812.4190277,Europe,0.0,0.0,imports_2010_2021
2010,M,Luxembourg,0,Crude petroleum oils,93354.1098643,Europe,49.6,6.1,imports_2010_2021
2010,M,Netherlands,0,Crude petroleum oils,80900692.3362956,Europe,52.1,5.3,imports_2010_2021
2010,M,Norway,0,Crude petroleum oils,373305496.0112577,Europe,60.5,8.5,imports_2010_2021
2010,M,Poland,0,Crude petroleum oils,622.4875204,Europe,52.0,20.0,imports_2010_2021
2010,M,Portugal,0,Crude petroleum oils,656.513883,Europe,0.0,0.0,imports_2010_2021
2010,M,Romania,0,Crude petroleum oils,1110.8700754000001,Europe,0.0,0.0,imports_2010_2021
2010,M,Russian Federation,0,Crude petroleum oils,42496456.0778079,Other,0.0,0.0,imports_2010_2021
2010,M,Saudi Arabia,0,Crude petroleum oils,2338.8319349,Middle East,23.9,45.1,imports_2010_2021
2010,M,India,0,Crude petroleum oils,9029.0712831,Asia,20.6,78.9,imports_2010_2021
2010,M,Slovenia,0,Crude petroleum oils,398.3116615,Europe,0.0,0.0,imports_2010_2021
2010,M,South Africa,0,Crude petroleum oils,20.0154186,Africa,-30.6,22.9,imports_2010_2021
2010,M,Spain,0,Crude petroleum oils,309204.1532624,Europe,40.0,-4.0,imports_2010_2021
2010,M,Sweden,0,Crude petroleum oils,67581311.2698373,Europe,63.0,16.0,imports_2010_2021
2010,M,Switzerland,0,Crude petroleum oils,6799.3246629000005,Europe,0.0,0.0,imports_2010_2021
2010,M,United Arab Emirates,0,Crude petroleum oils,91798004.5610052,Middle East,23.4,53.8,imports_2010_2021
2010,M,Ukraine,0,Crude petroleum oils,1070.8384833,Europe/Asia,0.0,0.0,imports_2010_2021
2010,M,United Kingdom,0,Crude petroleum oils,1896461474.848637,Europe,55.4,-3.4,imports_2010_2021
2010,M,United States,0,Crude petroleum oils,358739.946931,Americas,39.5,-98.4,imports_2010_2021
2010,M,_X,0,Crude petroleum oils,17092446.941408798,Other,0.0,0.0,imports_2010_2021
2010,M,Austria,0,Petroleum gas,1985.5553427,Europe,0.0,0.0,imports_2010_2021
2010,M,Belgium,0,Petroleum gas,966980.2902093,Europe,50.5,4.5,imports_2010_2021
2010,M,China,0,Petroleum gas,6003.7015824,Asia,35.9,104.2,imports_2010_2021
2010,M,Denmark,0,Petroleum gas,3976.1141626,Europe,56.0,10.0,imports_2010_2021
2010,M,France,0,Petroleum gas,2729881.9053008,Europe,46.2,2.2,imports_2010_2021
2010,M,Germany,0,Petroleum gas,49112.4623564,Europe,51.2,10.5,imports_2010_2021
