refYear,flowCode,partnerISO,cmdCode,cmdDesc,primaryValue,hsLabel,isParent,isSub,codeType,continent,partner_lat,partner_lon
2015,M,Argentina,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",689.155281,Medical Instruments,True,False,parent,Americas,-38.4,-63.6
2015,M,Australia,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",1724453.5860315,Medical Instruments,True,False,parent,Oceania,-25.3,133.8
2015,M,Austria,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",27724093.384375498,Medical Instruments,True,False,parent,Europe,47.5,14.6
2015,M,Belgium,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",10233976.04433,Medical Instruments,True,False,parent,Europe,50.5,4.5
2015,M,Brazil,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",14240.2175055,Medical Instruments,True,False,parent,Americas,-14.2,-51.9
2015,M,Belarus,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",243.05521800000002,Medical Instruments,True,False,parent,Europe,0.0,0.0
2015,M,Canada,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",1164332.043732,Medical Instruments,True,False,parent,Americas,56.1,-106.3
2015,M,Chile,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",21841.9341525,Medical Instruments,True,False,parent,Americas,-35.7,-71.5
2015,M,China,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",14756707.8126705,Medical Instruments,True,False,parent,Asia,35.9,104.2
2015,M,Colombia,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",20590.6521525,Medical Instruments,True,False,parent,Americas,4.6,-74.3
2015,M,Costa Rica,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",43497683.929625995,Medical Instruments,True,False,parent,Americas,9.7,-83.8
2015,M,Croatia,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",132329.895855,Medical Instruments,True,False,parent,Europe,45.1,15.2
2015,M,Czechia,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",218950.46475749998,Medical Instruments,True,False,parent,Europe,49.8,15.5
2015,M,Denmark,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",7473961.505749499,Medical Instruments,True,False,parent,Europe,56.0,10.0
2015,M,Dominica,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",10939.471716,Medical Instruments,True,False,parent,Other,0.0,0.0
2015,M,Dominican Rep.,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",2536235.982393,Medical Instruments,True,False,parent,Americas,18.7,-70.2
2015,M,Ecuador,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",6210.402849,Medical Instruments,True,False,parent,Americas,-1.8,-78.2
2015,M,Finland,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",4041320.008938,Medical Instruments,True,False,parent,Europe,61.9,25.7
2015,M,France,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",36443199.191447996,Medical Instruments,True,False,parent,Europe,46.2,2.2
2015,M,Djibouti,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",4603.0400685,Medical Instruments,True,False,parent,Other,0.0,0.0
2015,M,Gabon,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",160726.311066,Medical Instruments,True,False,parent,Africa,0.0,0.0
2015,M,Germany,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",159017508.9894135,Medical Instruments,True,False,parent,Europe,51.2,10.5
2015,M,Greece,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",57755.04825,Medical Instruments,True,False,parent,Europe,39.1,21.8
2015,M,Guatemala,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",12313.7823225,Medical Instruments,True,False,parent,Americas,15.8,-90.2
2015,M,"China, Hong Kong SAR",9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",178984.435641,Medical Instruments,True,False,parent,Asia,22.3,114.2
2015,M,Hungary,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",416351.0615295,Medical Instruments,True,False,parent,Europe,47.2,19.5
2015,M,Iceland,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",13351.01667,Medical Instruments,True,False,parent,Europe,64.9,-19.0
2015,M,Indonesia,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",142686.235902,Medical Instruments,True,False,parent,Asia,-0.8,113.9
2015,M,Iran,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",6412.448831999999,Medical Instruments,True,False,parent,Middle East,32.4,53.7
2015,M,Ireland,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",4666408.228069499,Medical Instruments,True,False,parent,Europe,53.4,-8.0
2015,M,Israel,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",14236213.2228,Medical Instruments,True,False,parent,Middle East,31.0,34.9
2015,M,Italy,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",20032350.6773985,Medical Instruments,True,False,parent,Europe,41.9,12.6
2015,M,Japan,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",13027270.100884499,Medical Instruments,True,False,parent,Asia,36.2,138.3
2015,M,Jordan,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",9277.095799499999,Medical Instruments,True,False,parent,Middle East,30.6,36.2
2015,M,Rep. of Korea,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",906694.8387585,Medical Instruments,True,False,parent,Asia,35.9,127.8
2015,M,Kuwait,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",1490.336361,Medical Instruments,True,False,parent,Middle East,29.3,47.5
2015,M,Lebanon,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",2683.6059345,Medical Instruments,True,False,parent,Middle East,33.9,35.9
2015,M,Latvia,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",80718.23564849999,Medical Instruments,True,False,parent,Europe,56.9,24.6
2015,M,Lithuania,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",14703.3216615,Medical Instruments,True,False,parent,Europe,55.2,23.9
2015,M,Luxembourg,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",995.2244474999999,Medical Instruments,True,False,parent,Europe,49.8,6.1
2015,M,Malaysia,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",3363630.906438,Medical Instruments,True,False,parent,Asia,4.2,108.0
2015,M,Malta,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",2699757.9251925,Medical Instruments,True,False,parent,Europe,35.9,14.5
2015,M,Mauritius,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",2892.653868,Medical Instruments,True,False,parent,Africa,-20.3,57.6
2015,M,Mexico,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",158330544.7915425,Medical Instruments,True,False,parent,Americas,23.6,-102.6
2015,M,Morocco,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",337.076259,Medical Instruments,True,False,parent,Africa,31.8,-7.1
2015,M,Oman,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",5125.1582175,Medical Instruments,True,False,parent,Middle East,21.5,55.9
2015,M,Namibia,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",4388.9915144999995,Medical Instruments,True,False,parent,Africa,0.0,0.0
2015,M,Netherlands,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",65500021.663403995,Medical Instruments,True,False,parent,Europe,52.1,5.3
2015,M,New Zealand,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",495056.84266799997,Medical Instruments,True,False,parent,Oceania,-40.9,174.9
2015,M,Nigeria,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",5.001522,Medical Instruments,True,False,parent,Africa,9.1,8.7
2015,M,Norway,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",435599.4099315,Medical Instruments,True,False,parent,Europe,60.5,8.5
2015,M,United States Minor Outlying Islands,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",5437.2286695,Medical Instruments,True,False,parent,Other,0.0,0.0
2015,M,Pakistan,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",472219.6831665,Medical Instruments,True,False,parent,Asia,30.4,69.3
2015,M,Panama,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",4601.03964,Medical Instruments,True,False,parent,Americas,8.5,-80.8
2015,M,Peru,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",337.076259,Medical Instruments,True,False,parent,Americas,-9.2,-75.0
2015,M,Philippines,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",989.223162,Medical Instruments,True,False,parent,Asia,12.9,121.8
2015,M,Poland,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",2094339.1496204997,Medical Instruments,True,False,parent,Europe,51.9,19.1
2015,M,Portugal,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",256536.95667749995,Medical Instruments,True,False,parent,Europe,39.4,-8.2
2015,M,Qatar,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",8015.810755500001,Medical Instruments,True,False,parent,Middle East,25.4,51.2
2015,M,Romania,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",4823004.6053655,Medical Instruments,True,False,parent,Europe,45.9,24.9
2015,M,Russian Federation,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",1039.234776,Medical Instruments,True,False,parent,Other,0.0,0.0
2015,M,Saudi Arabia,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",10375.343667,Medical Instruments,True,False,parent,Middle East,23.9,45.1
2015,M,Serbia,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",9136.064237999999,Medical Instruments,True,False,parent,Europe,0.0,0.0
2015,M,India,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",362572.9120155,Medical Instruments,True,False,parent,Asia,20.6,78.9
2015,M,Singapore,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",11264918.953146,Medical Instruments,True,False,parent,Asia,1.3,103.8
2015,M,Slovakia,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",228896.711553,Medical Instruments,True,False,parent,Europe,48.7,19.7
2015,M,Viet Nam,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",1016030.5401225,Medical Instruments,True,False,parent,Asia,14.1,108.3
2015,M,Slovenia,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",626520.5421645,Medical Instruments,True,False,parent,Europe,46.1,14.8
2015,M,South Africa,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",24227.473535999998,Medical Instruments,True,False,parent,Africa,-30.6,22.9
2015,M,Spain,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",8063239.6342035,Medical Instruments,True,False,parent,Europe,40.0,-4.0
2015,M,Sweden,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",7996525.562793001,Medical Instruments,True,False,parent,Europe,63.0,16.0
2015,M,Switzerland,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",22059285.599662498,Medical Instruments,True,False,parent,Europe,46.8,8.2
2015,M,Thailand,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",1258968.4242915,Medical Instruments,True,False,parent,Asia,15.9,100.9
2015,M,United Arab Emirates,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",4136.934819,Medical Instruments,True,False,parent,Middle East,23.4,53.8
2015,M,Tunisia,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",450084.682182,Medical Instruments,True,False,parent,Africa,33.9,9.5
2015,M,Türkiye,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",445112.5589985,Medical Instruments,True,False,parent,Europe,38.9,35.2
2015,M,Ukraine,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",21601.880027999996,Medical Instruments,True,False,parent,Europe,48.4,31.2
2015,M,Egypt,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",13212.985300499999,Medical Instruments,True,False,parent,Africa,26.8,30.8
2015,M,United Kingdom,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",126822706.5890175,Medical Instruments,True,False,parent,Europe,55.4,-3.4
2015,M,USA,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",365785609.7180595,Medical Instruments,True,False,parent,Americas,39.5,-98.4
2015,M,Uruguay,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",4320.976043999999,Medical Instruments,True,False,parent,Americas,-32.5,-55.8
2015,M,Uzbekistan,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",18121.093870499997,Medical Instruments,True,False,parent,Asia,41.4,64.6
2015,M,Venezuela,9018,"Instruments and appliances used in medical, surgical, dental or veterinary scien",64.0146135,Medical Instruments,True,False,parent,Americas,6.4,-66.6
2015,M,Argentina,901839,"Medical, surgical instruments and appliances; catheters, cannulae and the like",475.1076285,Catheters and Cannulae,False,True,sub,Americas,-38.4,-63.6
2015,M,Australia,901839,"Medical, surgical instruments and appliances; catheters, cannulae and the like",14842.352794499999,Catheters and Cannulae,False,True,sub,Oceania,-25.3,133.8
2015,M,Austria,901839,"Medical, surgical instruments and appliances; catheters, cannulae and the like",185055.80735699998,Catheters and Cannulae,False,True,sub,Europe,47.5,14.6
2015,M,Belgium,901839,"Medical, surgical instruments and appliances; catheters, cannulae and the like",392056.573188,Catheters and Cannulae,False,True,sub,Europe,50.5,4.5
2015,M,Brazil,901839,"Medical, surgical instruments and appliances; catheters, cannulae and the like",2126.4807374999996,Catheters and Cannulae,False,True,sub,Americas,-14.2,-51.9
2015,M,Canada,901839,"Medical, surgical instruments and appliances; catheters, cannulae and the like",260713.90006649998,Catheters and Cannulae,False,True,sub,Americas,56.1,-106.3
2015,M,Chile,901839,"Medical, surgical instruments and appliances; catheters, cannulae and the like",21841.9341525,Catheters and Cannulae,False,True,sub,Americas,-35.7,-71.5
2015,M,China,901839,"Medical, surgical instruments and appliances; catheters, cannulae and the like",1521539.744307,Catheters and Cannulae,False,True,sub,Asia,35.9,104.2
2015,M,Colombia,901839,"Medical, surgical instruments and appliances; catheters, cannulae and the like",14699.3208045,Catheters and Cannulae,False,True,sub,Americas,4.6,-74.3
2015,M,Costa Rica,901839,"Medical, surgical instruments and appliances; catheters, cannulae and the like",36476233.6537755,Catheters and Cannulae,False,True,sub,Americas,9.7,-83.8
2015,M,Czechia,901839,"Medical, surgical instruments and appliances; catheters, cannulae and the like",105767.8952145,Catheters and Cannulae,False,True,sub,Europe,49.8,15.5
2015,M,Denmark,901839,"Medical, surgical instruments and appliances; catheters, cannulae and the like",125108.264229,Catheters and Cannulae,False,True,sub,Europe,56.0,10.0
2015,M,Dominican Rep.,901839,"Medical, surgical instruments and appliances; catheters, cannulae and the like",189887.8987425,Catheters and Cannulae,False,True,sub,Americas,18.7,-70.2
2015,M,Finland,901839,"Medical, surgical instruments and appliances; catheters, cannulae and the like",168098.97639599998,Catheters and Cannulae,False,True,sub,Europe,61.9,25.7
2015,M,France,901839,"Medical, surgical instruments and appliances; catheters, cannulae and the like",1234242.83865,Catheters and Cannulae,False,True,sub,Europe,46.2,2.2
2015,M,Djibouti,901839,"Medical, surgical instruments and appliances; catheters, cannulae and the like",4603.0400685,Catheters and Cannulae,False,True,sub,Other,0.0,0.0
2015,M,Germany,901839,"Medical, surgical instruments and appliances; catheters, cannulae and the like",15075507.835059,Catheters and Cannulae,False,True,sub,Europe,51.2,10.5
2015,M,"China, Hong Kong SAR",901839,"Medical, surgical instruments and appliances; catheters, cannulae and the like",13696.094642999999,Catheters and Cannulae,False,True,sub,Asia,22.3,114.2
2015,M,Hungary,901839,"Medical, surgical instruments and appliances; catheters, cannulae and the like",1020.2302544999999,Catheters and Cannulae,False,True,sub,Europe,47.2,19.5
2015,M,Iceland,901839,"Medical, surgical instruments and appliances; catheters, cannulae and the like",3159.7142280000003,Catheters and Cannulae,False,True,sub,Europe,64.9,-19.0
2015,M,Indonesia,901839,"Medical, surgical instruments and appliances; catheters, cannulae and the like",1423.3215555,Catheters and Cannulae,False,True,sub,Asia,-0.8,113.9
2015,M,Iran,901839,"Medical, surgical instruments and appliances; catheters, cannulae and the like",1585.358067,Catheters and Cannulae,False,True,sub,Middle East,32.4,53.7
2015,M,Ireland,901839,"Medical, surgical instruments and appliances; catheters, cannulae and the like",2419377.5817584996,Catheters and Cannulae,False,True,sub,Europe,53.4,-8.0
2015,M,Israel,901839,"Medical, surgical instruments and appliances; catheters, cannulae and the like",327511.991277,Catheters and Cannulae,False,True,sub,Middle East,31.0,34.9
2015,M,Italy,901839,"Medical, surgical instruments and appliances; catheters, cannulae and the like",11496859.352271,Catheters and Cannulae,False,True,sub,Europe,41.9,12.6
2015,M,Japan,901839,"Medical, surgical instruments and appliances; catheters, cannulae and the like",2646426.8764065,Catheters and Cannulae,False,True,sub,Asia,36.2,138.3
2015,M,Jordan,901839,"Medical, surgical instruments and appliances; catheters, cannulae and the like",117.02641949999999,Catheters and Cannulae,False,True,sub,Middle East,30.6,36.2
2015,M,Rep. of Korea,901839,"Medical, surgical instruments and appliances; catheters, cannulae and the like",98428.236504,Catheters and Cannulae,False,True,sub,Asia,35.9,127.8
2015,M,Lebanon,901839,"Medical, surgical instruments and appliances; catheters, cannulae and the like",2683.6059345,Catheters and Cannulae,False,True,sub,Middle East,33.9,35.9
2015,M,Malaysia,901839,"Medical, surgical instruments and appliances; catheters, cannulae and the like",2441988.690135,Catheters and Cannulae,False,True,sub,Asia,4.2,108.0
2015,M,Malta,901839,"Medical, surgical instruments and appliances; catheters, cannulae and the like",36598.268521499995,Catheters and Cannulae,False,True,sub,Europe,35.9,14.5
2015,M,Mauritius,901839,"Medical, surgical instruments and appliances; catheters, cannulae and the like",2892.653868,Catheters and Cannulae,False,True,sub,Africa,-20.3,57.6
2015,M,Mexico,901839,"Medical, surgical instruments and appliances; catheters, cannulae and the like",122288026.121514,Catheters and Cannulae,False,True,sub,Americas,23.6,-102.6
2015,M,Morocco,901839,"Medical, surgical instruments and appliances; catheters, cannulae and the like",337.076259,Catheters and Cannulae,False,True,sub,Africa,31.8,-7.1
2015,M,Namibia,901839,"Medical, surgical instruments and appliances; catheters, cannulae and the like",4388.9915144999995,Catheters and Cannulae,False,True,sub,Africa,0.0,0.0
2015,M,Netherlands,901839,"Medical, surgical instruments and appliances; catheters, cannulae and the like",5496724.811745,Catheters and Cannulae,False,True,sub,Europe,52.1,5.3
2015,M,New Zealand,901839,"Medical, surgical instruments and appliances; catheters, cannulae and the like",97.0221345,Catheters and Cannulae,False,True,sub,Oceania,-40.9,174.9
2015,M,Norway,901839,"Medical, surgical instruments and appliances; catheters, cannulae and the like",3712.8385679999997,Catheters and Cannulae,False,True,sub,Europe,60.5,8.5
2015,M,United States Minor Outlying Islands,901839,"Medical, surgical instruments and appliances; catheters, cannulae and the like",1560.35226,Catheters and Cannulae,False,True,sub,Other,0.0,0.0
2015,M,Pakistan,901839,"Medical, surgical instruments and appliances; catheters, cannulae and the like",7471.687892999999,Catheters and Cannulae,False,True,sub,Asia,30.4,69.3
2015,M,Panama,901839,"Medical, surgical instruments and appliances; catheters, cannulae and the like",328.07388000000003,Catheters and Cannulae,False,True,sub,Americas,8.5,-80.8
2015,M,Philippines,901839,"Medical, surgical instruments and appliances; catheters, cannulae and the like",250.056267,Catheters and Cannulae,False,True,sub,Asia,12.9,121.8
2015,M,Poland,901839,"Medical, surgical instruments and appliances; catheters, cannulae and the like",653621.665047,Catheters and Cannulae,False,True,sub,Europe,51.9,19.1
2015,M,Portugal,901839,"Medical, surgical instruments and appliances; catheters, cannulae and the like",10921.466958,Catheters and Cannulae,False,True,sub,Europe,39.4,-8.2
2015,M,Qatar,901839,"Medical, surgical instruments and appliances; catheters, cannulae and the like",3533.7979635,Catheters and Cannulae,False,True,sub,Middle East,25.4,51.2
2015,M,Romania,901839,"Medical, surgical instruments and appliances; catheters, cannulae and the like",781.176795,Catheters and Cannulae,False,True,sub,Europe,45.9,24.9
2015,M,Russian Federation,901839,"Medical, surgical instruments and appliances; catheters, cannulae and the like",840.1898865,Catheters and Cannulae,False,True,sub,Other,0.0,0.0
2015,M,Saudi Arabia,901839,"Medical, surgical instruments and appliances; catheters, cannulae and the like",1316.2972785,Catheters and Cannulae,False,True,sub,Middle East,23.9,45.1
2015,M,Serbia,901839,"Medical, surgical instruments and appliances; catheters, cannulae and the like",9136.064237999999,Catheters and Cannulae,False,True,sub,Europe,0.0,0.0
2015,M,India,901839,"Medical, surgical instruments and appliances; catheters, cannulae and the like",21615.8830275,Catheters and Cannulae,False,True,sub,Asia,20.6,78.9
2015,M,Singapore,901839,"Medical, surgical instruments and appliances; catheters, cannulae and the like",9846707.5531005,Catheters and Cannulae,False,True,sub,Asia,1.3,103.8
2015,M,Slovakia,901839,"Medical, surgical instruments and appliances; catheters, cannulae and the like",5077.147032,Catheters and Cannulae,False,True,sub,Europe,48.7,19.7
2015,M,Viet Nam,901839,"Medical, surgical instruments and appliances; catheters, cannulae and the like",454752.7366275,Catheters and Cannulae,False,True,sub,Asia,14.1,108.3
2015,M,South Africa,901839,"Medical, surgical instruments and appliances; catheters, cannulae and the like",1454.328648,Catheters and Cannulae,False,True,sub,Africa,-30.6,22.9
2015,M,Spain,901839,"Medical, surgical instruments and appliances; catheters, cannulae and the like",436541.622573,Catheters and Cannulae,False,True,sub,Europe,40.0,-4.0
2015,M,Sweden,901839,"Medical, surgical instruments and appliances; catheters, cannulae and the like",38331.6601005,Catheters and Cannulae,False,True,sub,Europe,63.0,16.0
2015,M,Switzerland,901839,"Medical, surgical instruments and appliances; catheters, cannulae and the like",18516477.2139795,Catheters and Cannulae,False,True,sub,Europe,46.8,8.2
2015,M,Thailand,901839,"Medical, surgical instruments and appliances; catheters, cannulae and the like",322684.90051199996,Catheters and Cannulae,False,True,sub,Asia,15.9,100.9
2015,M,United Arab Emirates,901839,"Medical, surgical instruments and appliances; catheters, cannulae and the like",376.0850655,Catheters and Cannulae,False,True,sub,Middle East,23.4,53.8
2015,M,Türkiye,901839,"Medical, surgical instruments and appliances; catheters, cannulae and the like",77540.517564,Catheters and Cannulae,False,True,sub,Europe,38.9,35.2
2015,M,Ukraine,901839,"Medical, surgical instruments and appliances; catheters, cannulae and the like",21601.880027999996,Catheters and Cannulae,False,True,sub,Europe,48.4,31.2
